day,month,year,hour,min,elev
24,10,2018,10,40,2.21
24,10,2018,10,41,2.23
24,10,2018,10,42,2.21
24,10,2018,10,43,2.21
24,10,2018,10,44,2.2
24,10,2018,10,45,2.22
24,10,2018,10,46,2.25
24,10,2018,10,47,2.24
24,10,2018,10,48,2.23
24,10,2018,10,49,2.26
24,10,2018,10,50,2.26
24,10,2018,10,51,2.27
24,10,2018,10,52,2.29
24,10,2018,10,53,2.28
24,10,2018,10,54,2.27
24,10,2018,10,55,2.28
24,10,2018,10,56,2.31
24,10,2018,10,57,2.28
24,10,2018,10,58,2.31
24,10,2018,10,59,2.31
24,10,2018,11,0,2.3
24,10,2018,11,1,2.3
24,10,2018,11,2,2.3
24,10,2018,11,3,2.3
24,10,2018,11,4,2.3
24,10,2018,11,5,2.31
24,10,2018,11,6,2.34
24,10,2018,11,7,2.36
24,10,2018,11,8,2.33
24,10,2018,11,9,2.36
24,10,2018,11,10,2.37
24,10,2018,11,11,2.36
24,10,2018,11,12,2.38
24,10,2018,11,13,2.36
24,10,2018,11,14,2.37
24,10,2018,11,15,2.38
24,10,2018,11,16,2.38
24,10,2018,11,17,2.38
24,10,2018,11,18,2.38
24,10,2018,11,19,2.38
24,10,2018,11,20,2.4
24,10,2018,11,21,2.39
24,10,2018,11,22,2.43
24,10,2018,11,23,2.39
24,10,2018,11,24,2.43
24,10,2018,11,25,2.43
24,10,2018,11,26,2.44
24,10,2018,11,27,2.43
24,10,2018,11,28,2.45
24,10,2018,11,29,2.42
24,10,2018,11,30,2.46
24,10,2018,11,31,2.44
24,10,2018,11,32,2.47
24,10,2018,11,33,2.46
24,10,2018,11,34,2.48
24,10,2018,11,35,2.5
24,10,2018,11,36,2.52
24,10,2018,11,37,2.49
24,10,2018,11,38,2.51
24,10,2018,11,39,2.51
24,10,2018,11,40,2.51
24,10,2018,11,41,2.46
24,10,2018,11,42,2.5
24,10,2018,11,43,2.51
24,10,2018,11,44,2.5
24,10,2018,11,45,2.51
24,10,2018,11,46,2.51
24,10,2018,11,47,2.54
24,10,2018,11,48,2.52
24,10,2018,11,49,2.52
24,10,2018,11,50,2.54
24,10,2018,11,51,2.54
24,10,2018,11,52,2.56
24,10,2018,11,53,2.59
24,10,2018,11,54,2.52
24,10,2018,11,55,2.57
24,10,2018,11,56,2.58
24,10,2018,11,57,2.56
24,10,2018,11,58,2.58
24,10,2018,12,4,2.63
24,10,2018,12,5,2.63
24,10,2018,12,6,2.65
24,10,2018,12,7,2.62
24,10,2018,12,8,2.65
24,10,2018,12,14,2.63
24,10,2018,12,15,2.64
24,10,2018,12,16,2.66
24,10,2018,12,17,2.66
24,10,2018,12,18,2.67
24,10,2018,12,19,2.65
24,10,2018,12,20,2.68
24,10,2018,12,21,2.67
24,10,2018,12,22,2.66
24,10,2018,12,23,2.67
24,10,2018,12,54,2.78
24,10,2018,12,55,2.78
24,10,2018,12,56,2.77
24,10,2018,12,57,2.81
24,10,2018,12,58,2.79
24,10,2018,12,59,2.82
24,10,2018,13,0,2.83
24,10,2018,13,1,2.81
24,10,2018,13,2,2.82
24,10,2018,13,3,2.84
24,10,2018,13,4,2.82
24,10,2018,13,5,2.81
24,10,2018,13,6,2.82
24,10,2018,13,7,2.79
24,10,2018,13,8,2.78
24,10,2018,13,9,2.8
24,10,2018,13,10,2.81
24,10,2018,13,11,2.8
24,10,2018,13,12,2.8
24,10,2018,13,13,2.82
24,10,2018,13,14,2.81
24,10,2018,13,15,2.83
24,10,2018,13,16,2.81
24,10,2018,13,17,2.83
24,10,2018,13,18,2.83
24,10,2018,13,19,2.83
24,10,2018,13,20,2.85
24,10,2018,13,21,2.84
24,10,2018,13,22,2.86
24,10,2018,13,23,2.84
24,10,2018,13,24,2.87
24,10,2018,13,25,2.87
24,10,2018,13,26,2.86
24,10,2018,13,27,2.85
24,10,2018,13,28,2.86
24,10,2018,13,29,2.86
24,10,2018,13,30,2.84
24,10,2018,13,31,2.85
24,10,2018,13,32,2.85
24,10,2018,13,33,2.86
24,10,2018,13,34,2.84
24,10,2018,13,35,2.87
24,10,2018,13,36,2.85
24,10,2018,13,37,2.86
24,10,2018,13,38,2.84
24,10,2018,13,39,2.84
24,10,2018,13,40,2.85
24,10,2018,13,41,2.83
24,10,2018,13,42,2.83
24,10,2018,13,43,2.86
24,10,2018,13,44,2.85
24,10,2018,13,45,2.86
24,10,2018,13,46,2.86
24,10,2018,13,47,2.89
24,10,2018,13,48,2.87
24,10,2018,13,49,2.86
24,10,2018,13,50,2.86
24,10,2018,13,51,2.84
24,10,2018,13,52,2.82
24,10,2018,13,53,2.85
24,10,2018,13,54,2.86
24,10,2018,13,55,2.84
24,10,2018,13,56,2.85
24,10,2018,13,57,2.88
24,10,2018,13,58,2.85
24,10,2018,13,59,2.87
24,10,2018,14,0,2.83
24,10,2018,14,1,2.84
24,10,2018,14,2,2.87
24,10,2018,14,3,2.84
24,10,2018,14,4,2.87
24,10,2018,14,5,2.86
24,10,2018,14,6,2.87
24,10,2018,14,7,2.87
24,10,2018,14,8,2.86
24,10,2018,14,9,2.86
24,10,2018,14,10,2.86
24,10,2018,14,11,2.87
24,10,2018,14,12,2.87
24,10,2018,14,13,2.86
24,10,2018,14,14,2.87
24,10,2018,14,15,2.88
24,10,2018,14,16,2.89
24,10,2018,14,17,2.87
24,10,2018,14,18,2.87
24,10,2018,14,19,2.85
24,10,2018,14,20,2.84
24,10,2018,14,21,2.82
24,10,2018,14,22,2.84
24,10,2018,14,23,2.83
24,10,2018,14,24,2.81
24,10,2018,14,25,2.84
24,10,2018,14,26,2.83
24,10,2018,14,27,2.82
24,10,2018,14,28,2.85
24,10,2018,14,29,2.84
24,10,2018,14,30,2.84
24,10,2018,14,31,2.81
24,10,2018,14,32,2.83
24,10,2018,14,33,2.84
24,10,2018,14,34,2.83
24,10,2018,14,35,2.81
24,10,2018,14,36,2.79
24,10,2018,14,37,2.81
24,10,2018,14,38,2.83
24,10,2018,14,39,2.83
24,10,2018,14,40,2.85
24,10,2018,14,41,2.82
24,10,2018,14,42,2.82
24,10,2018,14,43,2.81
24,10,2018,14,44,2.81
24,10,2018,14,45,2.81
24,10,2018,14,46,2.81
24,10,2018,14,47,2.8
24,10,2018,14,48,2.78
24,10,2018,14,49,2.83
24,10,2018,14,50,2.79
24,10,2018,14,51,2.83
24,10,2018,14,52,2.82
24,10,2018,14,53,2.79
24,10,2018,14,54,2.79
24,10,2018,14,55,2.79
24,10,2018,14,56,2.8
24,10,2018,14,57,2.77
24,10,2018,14,58,2.79
24,10,2018,14,59,2.81
24,10,2018,15,0,2.79
24,10,2018,15,1,2.79
24,10,2018,15,2,2.78
24,10,2018,15,3,2.79
24,10,2018,15,4,2.75
24,10,2018,15,5,2.76
24,10,2018,15,6,2.76
24,10,2018,15,7,2.73
24,10,2018,15,8,2.74
24,10,2018,15,9,2.71
24,10,2018,15,10,2.73
24,10,2018,15,11,2.72
24,10,2018,15,12,2.74
24,10,2018,15,13,2.75
24,10,2018,15,14,2.74
24,10,2018,15,15,2.72
24,10,2018,15,16,2.72
24,10,2018,15,17,2.74
24,10,2018,15,18,2.72
24,10,2018,15,19,2.7
24,10,2018,15,20,2.72
24,10,2018,15,21,2.73
24,10,2018,15,22,2.73
24,10,2018,15,23,2.71
24,10,2018,15,24,2.72
24,10,2018,15,25,2.7
24,10,2018,15,26,2.7
24,10,2018,15,27,2.69
24,10,2018,15,28,2.7
24,10,2018,15,29,2.71
24,10,2018,15,30,2.68
24,10,2018,15,31,2.7
24,10,2018,15,32,2.7
24,10,2018,15,33,2.69
24,10,2018,15,34,2.69
24,10,2018,15,35,2.66
24,10,2018,15,36,2.67
24,10,2018,15,37,2.64
24,10,2018,15,38,2.66
24,10,2018,15,39,2.66
24,10,2018,15,40,2.65
24,10,2018,15,41,2.66
24,10,2018,15,42,2.67
24,10,2018,15,43,2.65
24,10,2018,15,44,2.64
24,10,2018,15,45,2.61
24,10,2018,15,46,2.66
24,10,2018,15,47,2.62
24,10,2018,15,48,2.61
24,10,2018,15,49,2.6
24,10,2018,15,50,2.6
24,10,2018,15,51,2.62
24,10,2018,15,52,2.61
24,10,2018,15,53,2.61
24,10,2018,15,54,2.58
24,10,2018,15,55,2.58
24,10,2018,15,56,2.6
24,10,2018,15,57,2.59
