Time (UTC)	prs(m)	rad(m)
2019-11-28 03:18:29	3.521	4.51
2019-11-28 03:19:29	3.453	4.442
2019-11-28 03:20:29	3.439	4.428
2019-11-28 03:21:29	3.495	4.485
2019-11-28 03:22:29	3.32	4.309
2019-11-28 03:23:29	3.458	4.447
2019-11-28 03:24:29	3.43	4.42
2019-11-28 03:25:29	3.458	4.446
2019-11-28 03:26:29	3.428	4.417
2019-11-28 03:27:29	3.472	4.461
2019-11-28 03:28:29	3.351	4.34
2019-11-28 03:29:29	3.475	4.464
2019-11-28 03:30:29	3.475	4.463
2019-11-28 03:31:29	3.487	4.476
2019-11-28 03:32:29	3.392	4.381
2019-11-28 03:33:29	3.439	4.428
2019-11-28 03:34:29	3.399	4.388
2019-11-28 03:35:29	3.412	4.401
2019-11-28 03:36:29	3.305	4.294
2019-11-28 03:37:29	3.377	4.366
2019-11-28 03:38:29	3.416	4.405
2019-11-28 03:39:29	3.367	4.355
2019-11-28 03:40:29	3.489	4.478
2019-11-28 03:41:29	3.316	4.305
2019-11-28 03:42:29	3.448	4.437
2019-11-28 03:43:29	3.364	4.353
2019-11-28 03:44:29	3.389	4.377
2019-11-28 03:45:29	3.392	4.381
2019-11-28 03:46:29	3.358	4.347
2019-11-28 03:47:29	3.474	4.462
2019-11-28 03:48:29	3.372	4.361
2019-11-28 03:49:29	3.438	4.426
2019-11-28 03:50:29	3.475	4.465
2019-11-28 03:51:29	3.396	4.384
2019-11-28 03:52:29	3.399	4.388
2019-11-28 03:53:29	3.482	4.471
2019-11-28 03:54:29	3.384	4.374
2019-11-28 03:55:29	3.422	4.41
2019-11-28 03:56:29	3.416	4.405
2019-11-28 03:57:29	3.452	4.442
2019-11-28 03:58:29	3.471	4.461
2019-11-28 03:59:29	3.368	4.357
2019-11-28 04:00:29	3.337	4.326
2019-11-28 04:01:29	3.294	4.283
2019-11-28 04:02:29	3.395	4.383
2019-11-28 04:03:29	3.414	4.402
2019-11-28 04:04:29	3.435	4.424
2019-11-28 04:05:29	3.421	4.41
2019-11-28 04:06:29	3.321	4.31
2019-11-28 04:07:29	3.31	4.298
2019-11-28 04:08:29	3.36	4.347
2019-11-28 04:09:29	3.326	4.315
2019-11-28 04:10:29	3.329	4.318
2019-11-28 04:11:29	3.339	4.328
2019-11-28 04:12:29	3.268	4.257
